//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 8-8-2016
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:1.0, 3.68     AFR:9.7, 18.2
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
707	17.48	175 	3.452
708	17.49	175 	3.457
709	17.51	175 	3.462
710	17.52	175 	3.467
711	17.54	175 	3.472
712	17.55	176 	3.477
713	17.57	176 	3.481
714	17.59	176 	3.486
715	17.60	176 	3.491
716	17.62	176 	3.496
717	17.63	176 	3.501
718	17.65	176 	3.506
719	17.66	177 	3.511
720	17.68	177 	3.516
721	17.69	177 	3.521
722	17.71	177 	3.525
723	17.73	177 	3.530
724	17.74	177 	3.535
725	17.76	178 	3.540
726	17.77	178 	3.545
727	17.79	178 	3.550
728	17.80	178 	3.555
729	17.82	178 	3.560
730	17.83	178 	3.564
731	17.85	178 	3.569
732	17.86	179 	3.574
733	17.88	179 	3.579
734	17.90	179 	3.584
735	17.91	179 	3.589
736	17.93	179 	3.594
737	17.94	179 	3.599
738	17.96	180 	3.604
739	17.97	180 	3.608
740	17.99	180 	3.613
741	18.00	180 	3.618
742	18.02	180 	3.623
743	18.03	180 	3.628
744	18.05	181 	3.633
745	18.07	181 	3.638
746	18.08	181 	3.643
747	18.10	181 	3.647
748	18.11	181 	3.652
749	18.13	181 	3.657
750	18.14	181 	3.662
751	18.16	182 	3.667
752	18.17	182 	3.672
753	18.19	182 	3.677
754	18.21	182 	3.682
755	18.22	182 	3.687
756	18.24	182 	3.691
757	18.25	183 	3.696
758	18.27	183 	3.701
759	18.28	183 	3.706
760	18.30	183 	3.711
761	18.31	183 	3.716
762	18.33	183 	3.721
763	18.34	183 	3.726
764	18.36	184 	3.730
765	18.38	184 	3.735
766	18.39	184 	3.740
767	18.41	184 	3.745
768	18.42	184 	3.750
769	18.44	184 	3.755
770	18.45	185 	3.760
771	18.47	185 	3.765
772	18.48	185 	3.770
773	18.50	185 	3.774
774	18.51	185 	3.779
775	18.53	185 	3.784
776	18.55	185 	3.789
777	18.56	186 	3.794
778	18.58	186 	3.799
779	18.59	186 	3.804
780	18.61	186 	3.809
781	18.62	186 	3.813
782	18.64	186 	3.818
783	18.65	187 	3.823
784	18.67	187 	3.828
785	18.69	187 	3.833
786	18.70	187 	3.838
787	18.72	187 	3.843
788	18.73	187 	3.848
789	18.75	187 	3.853
790	18.76	188 	3.857
791	18.78	188 	3.862
792	18.79	188 	3.867
793	18.81	188 	3.872
794	18.82	188 	3.877
795	18.84	188 	3.882
796	18.86	189 	3.887
797	18.87	189 	3.892
798	18.89	189 	3.896
799	18.90	189 	3.901
800	18.92	189 	3.906
801	18.93	189 	3.911
802	18.95	189 	3.916
803	18.96	190 	3.921
804	18.98	190 	3.926
805	19.00	190 	3.931
806	19.01	190 	3.936
807	19.03	190 	3.940
808	19.04	190 	3.945
809	19.06	191 	3.950
810	19.07	191 	3.955
811	19.09	191 	3.960
812	19.10	191 	3.965
813	19.12	191 	3.970
814	19.13	191 	3.975
815	19.15	191 	3.979
816	19.17	192 	3.984
817	19.18	192 	3.989
818	19.20	192 	3.994
819	19.21	192 	3.999
820	19.23	192 	4.004
821	19.24	192 	4.009
822	19.26	193 	4.014
823	19.27	193 	4.019
824	19.29	193 	4.023
825	19.30	193 	4.028
826	19.32	193 	4.033
827	19.34	193 	4.038
828	19.35	194 	4.043
829	19.37	194 	4.048
830	19.38	194 	4.053
831	19.40	194 	4.058
832	19.41	194 	4.063
833	19.43	194 	4.067
834	19.44	194 	4.072
835	19.46	195 	4.077
836	19.48	195 	4.082
837	19.49	195 	4.087
838	19.51	195 	4.092
839	19.52	195 	4.097
840	19.54	195 	4.102
841	19.55	196 	4.106
842	19.57	196 	4.111
843	19.58	196 	4.116
844	19.60	196 	4.121
845	19.61	196 	4.126
846	19.63	196 	4.131
847	19.65	196 	4.136
848	19.66	197 	4.141
849	19.68	197 	4.146
850	19.69	197 	4.150
851	19.71	197 	4.155
852	19.72	197 	4.160
853	19.74	197 	4.165
854	19.75	198 	4.170
855	19.77	198 	4.175
856	19.78	198 	4.180
857	19.80	198 	4.185
858	19.82	198 	4.189
859	19.83	198 	4.194
860	19.85	198 	4.199
861	19.86	199 	4.204
862	19.88	199 	4.209
863	19.89	199 	4.214
864	19.91	199 	4.219
865	19.92	199 	4.224
866	19.94	199 	4.229
867	19.96	200 	4.233
868	19.97	200 	4.238
869	19.99	200 	4.243
870	20.00	200 	4.248
871	20.02	200 	4.253
872	20.03	200 	4.258
873	20.05	200 	4.263
874	20.06	201 	4.268
875	20.08	201 	4.272
876	20.09	201 	4.277
877	20.11	201 	4.282
878	20.13	201 	4.287
879	20.14	201 	4.292
880	20.16	202 	4.297
881	20.17	202 	4.302
882	20.19	202 	4.307
883	20.20	202 	4.312
884	20.22	202 	4.316
885	20.23	202 	4.321
886	20.25	202 	4.326
887	20.26	203 	4.331
888	20.28	203 	4.336
889	20.30	203 	4.341
890	20.31	203 	4.346
891	20.33	203 	4.351
892	20.34	203 	4.355
893	20.36	204 	4.360
894	20.37	204 	4.365
895	20.39	204 	4.370
896	20.40	204 	4.375
897	20.42	204 	4.380
898	20.44	204 	4.385
899	20.45	205 	4.390
900	20.47	205 	4.395
901	20.48	205 	4.399
902	20.50	205 	4.404
903	20.51	205 	4.409
904	20.53	205 	4.414
905	20.54	205 	4.419
906	20.56	206 	4.424
907	20.57	206 	4.429
908	20.59	206 	4.434
909	20.61	206 	4.438
910	20.62	206 	4.443
911	20.64	206 	4.448
912	20.65	207 	4.453
913	20.67	207 	4.458
914	20.68	207 	4.463
915	20.70	207 	4.468
916	20.71	207 	4.473
917	20.73	207 	4.478
918	20.74	207 	4.482
919	20.76	208 	4.487
920	20.78	208 	4.492
921	20.79	208 	4.497
922	20.81	208 	4.502
923	20.82	208 	4.507
924	20.84	208 	4.512
925	20.85	209 	4.517
926	20.87	209 	4.521
927	20.88	209 	4.526
928	20.90	209 	4.531
929	20.92	209 	4.536
930	20.93	209 	4.541
931	20.95	209 	4.546
932	20.96	210 	4.551
933	20.98	210 	4.556
934	20.99	210 	4.561
935	21.01	210 	4.565
936	21.02	210 	4.570
937	21.04	210 	4.575
938	21.05	211 	4.580
939	21.07	211 	4.585
940	21.09	211 	4.590
941	21.10	211 	4.595
942	21.12	211 	4.600
943	21.13	211 	4.604
944	21.15	211 	4.609
945	21.16	212 	4.614
946	21.18	212 	4.619
947	21.19	212 	4.624
948	21.21	212 	4.629
949	21.23	212 	4.634
950	21.24	212 	4.639
951	21.26	213 	4.644
952	21.27	213 	4.648
953	21.29	213 	4.653
954	21.30	213 	4.658
955	21.32	213 	4.663
956	21.33	213 	4.668
957	21.35	213 	4.673
958	21.36	214 	4.678
959	21.38	214 	4.683
960	21.40	214 	4.688
961	21.41	214 	4.692
962	21.43	214 	4.697
963	21.44	214 	4.702
964	21.46	215 	4.707
965	21.47	215 	4.712
966	21.49	215 	4.717
967	21.50	215 	4.722
968	21.52	215 	4.727
969	21.53	215 	4.731
970	21.55	216 	4.736
971	21.57	216 	4.741
972	21.58	216 	4.746
973	21.60	216 	4.751
974	21.61	216 	4.756
975	21.63	216 	4.761
976	21.64	216 	4.766
977	21.66	217 	4.771
978	21.67	217 	4.775
979	21.69	217 	4.780
980	21.71	217 	4.785
981	21.72	217 	4.790
982	21.74	217 	4.795
983	21.75	218 	4.800
984	21.77	218 	4.805
985	21.78	218 	4.810
986	21.80	218 	4.814
